ENSP00000426797,ACTN3
ENSP00000426179,ALB
ENSP00000425956,RNF213
ENSP00000424707,TMEM167A TMEM167
ENSP00000423325,
ENSP00000422473,TMEM33 DB83
ENSP00000421922,LRPAP1 A2MRAP
ENSP00000421323,CNBP RNF163 ZNF9
ENSP00000420939,SELENOP SELP SEPP1
ENSP00000420436,IGKV1-5
ENSP00000420410,MLF1
ENSP00000420361,IGKV1-6
ENSP00000420285,IGKV1D-8
ENSP00000420199,FLNB
ENSP00000420127,RAB9A RAB9
ENSP00000420118,IGKV3-11
ENSP00000419879,CDS2
ENSP00000419851,GMPS
ENSP00000419692,RXRA NR2B1
ENSP00000419598,IGKV1-9
ENSP00000419505,BCHE
ENSP00000419449,EIF1 SUI1
ENSP00000419425,PPIA CYPA
ENSP00000419389,TRMT10C
ENSP00000419371,AZI2 NAP1 TBKBP2
ENSP00000419300,IGKV2-24
ENSP00000418905,ALDH1L1
ENSP00000418787,LYRM4 C6orf149 ISD11 CGI-203
ENSP00000418649,IGKV3-20
ENSP00000418447,PPP2CA
ENSP00000418392,CPA4
ENSP00000418287,CIAO1 WDR39
ENSP00000418138,IGKV2-30
ENSP00000418095,TACC3
ENSP00000417970,FAM120B CCPG KIAA1838
ENSP00000417963,PPP2R5D
ENSP00000417962,COMMD2
ENSP00000417852,PDE6B
ENSP00000417748,DDI2
ENSP00000417659,PPM1L PP2CE
ENSP00000417580,IAH1
ENSP00000417344,IGKV1-16
ENSP00000417190,ATPAF2 ATP12 LP3663
ENSP00000417185,VWA1
ENSP00000417175,VAPB UNQ484/PRO983
ENSP00000417136,IGKV2D-24
ENSP00000417052,EBP
ENSP00000416706,ACTBL2
ENSP00000416583,DERA CGI-26
ENSP00000416387,FBLIM1 FBLP1
ENSP00000416330,TGFBI BIGH3
ENSP00000416201,IGHV3-72
ENSP00000415973,RALY
ENSP00000415346,COL3A1
ENSP00000414357,HSPB1
ENSP00000413234,AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899
ENSP00000413035,RBFOX2 FOX2 HRNBP2 RBM9 RTA
ENSP00000413026,LRRFIP2
ENSP00000412682,USP8 KIAA0055 UBPY
ENSP00000412461,ARHGAP22 RHOGAP2
ENSP00000412189,PGAM4 PGAM3
ENSP00000411825,PDCD6IP AIP1 ALIX KIAA1375
ENSP00000411643,PPIG
ENSP00000410374,NLGN1
