ENSMUSP00000019192,Cryaa Crya1
ENSMUSP00000109698,Crygc
ENSMUSP00000077693,Cryba1 mCG_10833
ENSMUSP00000031295,Crybb2
ENSMUSP00000031286,Crybb1
ENSMUSP00000045327,Crygd
ENSMUSP00000027090,Crygb
ENSMUSP00000075440,Crybb3
ENSMUSP00000043588,Crygs
ENSMUSP00000018246,Hist1h2bc; Hist1h2be; Hist1h2bg
ENSMUSP00000106086,Mettl26 0610011F06Rik
ENSMUSP00000108002,Cryba4
ENSMUSP00000083826,Cryba4
ENSMUSP00000027082,Crygf
ENSMUSP00000028062,Vim
ENSMUSP00000006721,Cryba2
ENSMUSP00000034834,Pkm Pk3 Pkm2 Pykm
ENSMUSP00000075513,Eno1 Eno-1
ENSMUSP00000001566,Tubb5
ENSMUSP00000042342,Tubb4b Tubb2c
ENSMUSP00000060246,Tubb2a Tubb2
ENSMUSP00000088287,Hist2h2be
ENSMUSP00000071486,Actg1 Actg
ENSMUSP00000094778,Tuba1a Tuba1
ENSMUSP00000071135,Tubb4a Tubb4
ENSMUSP00000072989,Hist1h2af
ENSMUSP00000026459,Atp5b
ENSMUSP00000077814,Hist2h2aa1; Hist2h2aa2
ENSMUSP00000034453,Acta1 Acta
ENSMUSP00000078429,Tuba4a
ENSMUSP00000048218,Acta2 Actsa Actvs
ENSMUSP00000073289,Gapdh Gapd
ENSMUSP00000097797,Sptan1 Spna2
ENSMUSP00000071134,Tubb3
ENSMUSP00000052086,Actbl2
ENSMUSP00000029046,Fabp5 Fabpe Klbp Mal1
ENSMUSP00000116249,Bfsp2
ENSMUSP00000058548,Cryga
ENSMUSP00000032233,Tuba8
ENSMUSP00000076948,Sag
ENSMUSP00000001513,Tubb6
ENSMUSP00000080302,Pgk1 Pgk-1
ENSMUSP00000034049,Slc25a4 Anc1 Ant1
ENSMUSP00000001304,Ckb Ckbb
ENSMUSP00000050220,Cltc
ENSMUSP00000015800,Hspa8 Hsc70 Hsc73
ENSMUSP00000036386,Ldha Ldh-1 Ldh1
ENSMUSP00000005077,Hspb1 Hsp25 Hsp27
ENSMUSP00000072620,Eno3 Eno-3
ENSMUSP00000026495,Atp5a1
ENSMUSP00000016463,Slc25a5 Ant2
ENSMUSP00000010205,Gnat1 Gnat-1
ENSMUSP00000019323,Mdh2 Mor1
ENSMUSP00000036907,H2afz H2az
ENSMUSP00000004378,Eno2 Eno-2
ENSMUSP00000022529,Tkt
ENSMUSP00000006629,Sptbn1 Elf Spnb-2 Spnb2 Sptb2
ENSMUSP00000030940,Gnb1
ENSMUSP00000049355,Gpi Gpi1
ENSMUSP00000021698,Hsp90aa1 Hsp86 Hsp86-1 Hspca
ENSMUSP00000062996,Gdi2 Gdi3
ENSMUSP00000059871,Lgsn Gluld1 Lgs
ENSMUSP00000083375,Glul Glns
ENSMUSP00000022629,Dpysl2 Crmp2 Ulip2
ENSMUSP00000028907,Bfsp1
ENSMUSP00000084918,Aldh1a1 Ahd-2 Ahd2 Aldh1
